X,Y
1,3.888888889
2,4.555555556
3,5.222222222
4,5.888888889
5,6.555555556
6,7.222222222
7,7.888888889
8,8.555555556
9,9.222222222
10,9.888888889
11,10.55555556
12,11.22222222
13,11.88888889
14,12.55555556
15,13.22222222
16,13.88888889
17,14.55555556
18,15.22222222
19,15.88888889
20,16.55555556
21,17.22222222
22,17.88888889
23,18.55555556
24,19.22222222
25,19.88888889
26,20.55555556
27,21.22222222
28,21.88888889
29,22.55555556
30,23.22222222
31,23.88888889
32,24.55555556
33,25.22222222
34,25.88888889
35,26.55555556
36,27.22222222
37,27.88888889
38,28.55555556
39,29.22222222
40,29.88888889
41,30.55555556
42,31.22222222
43,31.88888889
44,32.55555556
45,33.22222222
46,33.88888889
47,34.55555556
48,35.22222222
49,35.88888889
50,36.55555556
51,37.22222222
52,37.88888889
53,38.55555556
54,39.22222222
55,39.88888889
56,40.55555556
57,41.22222222
58,41.88888889
59,42.55555556
60,43.22222222
61,43.88888889
62,44.55555556
63,45.22222222
64,45.88888889
65,46.55555556
66,47.22222222
67,47.88888889
68,48.55555556
69,49.22222222
70,49.88888889
71,50.55555556
72,51.22222222
73,51.88888889
74,52.55555556
75,53.22222222
76,53.88888889
77,54.55555556
78,55.22222222
79,55.88888889
80,56.55555556
81,57.22222222
